b_name,b_city,business_id,adj_stars,ranking,positive,negative,image_url
Bellagio Hotel,Las Vegas,-7yF42k0CcJhtPw51oaOqQ,3.975135975,0.99388296,0.312617702,0.372262774,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
The Venetian Resort Hotel Casino,Las Vegas,34uJtlPnKicSaX1V8_tu1A,4.016697588,0.996748245,0.227154047,0.324675325,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
InterContinental Alliance Resorts THE PALAZZO,Las Vegas,5paMI5Hhciyl09yGpzdoJw,4.132661629,0.999555908,0.194189602,0.39,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Luxor Hotel And Casino Las Vegas,Las Vegas,6LM_Klmp3hOP0JmsMCKRqQ,2.792134831,0.000135819,0.162162162,0.355902778,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
The Cosmopolitan of Las Vegas,Las Vegas,AtjsjFzalWqJ7S9DUFQ4bw,3.971264368,0.993526151,0.248693835,0.332089552,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
The Mirage,Las Vegas,DUdBbrvqfaqUe9GYKmYNtA,3.602956705,0.716226409,0.198547215,0.305555556,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Excalibur Hotel,Las Vegas,G0nUhYF2q4tnoOPwCjXLig,2.725991189,3.38E-05,0.196721311,0.325443787,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
ARIA Hotel & Casino,Las Vegas,JpHE7yhMS5ehA9e8WG_ETg,3.657563025,0.803827918,0.209443099,0.329376855,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Flamingo Las Vegas Hotel & Casino,Las Vegas,NGJDjdiDJHmN2xxU7KauuA,2.888888889,0.000849767,0.124203822,0.340686275,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Mandalay Bay Resort & Casino,Las Vegas,TWD8c5-P7w9v-2KX_GSNZQ,3.503784693,0.522496736,0.217573222,0.346846847,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Vdara Hotel,Las Vegas,WIlklz81DcJkUWJThbnJbQ,3.887737478,0.979878304,0.146875,0.21969697,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
"Treasure Island, LLC",Las Vegas,_v6HIliEOn0l0YaAmBOrxw,3.292105263,0.148391606,0.135,0.328431373,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Paris Las Vegas Hotel & Casino,Las Vegas,bYhpy9u8fKkGhYHtvYXazQ,3.224652087,0.081687723,0.173285199,0.28436019,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Encore,Las Vegas,eRRyfI6QVvSviirRF8UGzQ,4.149490374,0.999676583,0.265625,0.333333333,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
MGM Grand Hotel,Las Vegas,eWPFXL1Bmu1ImtIa2Rqliw,3.303011678,0.161896733,0.189083821,0.3,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Phoenix Sky Harbor International Airport,Phoenix,hW0Ne_HTHEAgGF1rAdmR-g,3.301348136,0.159786611,0.240909091,0.268456376,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
McCarran International Airport,Las Vegas,jf67Z1pnwElRSXllpQHiJg,3.284606866,0.139556444,0.229813665,0.286549708,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Hard Rock Hotel & Casino,Las Vegas,kEC7OlpPnZRxCUyVwq7hig,3.230223124,0.086147861,0.229050279,0.284090909,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Monte Carlo Hotel And Casino,Las Vegas,ripCiWZ0MblMZSLrIKQAKA,2.964716806,0.003032019,0.18220339,0.272727273,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Wynn Las Vegas,Las Vegas,u9wjRhUjySkHPa_hG3kFOg,4.139303483,0.999607811,0.322742475,0.264705882,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Planet Hollywood Las Vegas Resort & Casino,Las Vegas,uJYw4p59AKh8c8h5yWMdOw,3.338686131,0.211465602,0.135699374,0.34137931,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
Caesars Palace Las Vegas Hotel & Casino,Las Vegas,z3SyT8blMIhsZNvKJgKcRA,3.461391802,0.434932184,0.222222222,0.340206186,https://www.visitsitaly.com/tours/campania/rentals/hotel_santa_caterina/hotel_santa_caterina_pool.jpg
