Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
d_hilton_1.txt,1,273,64.27,45.62,68.01,32.04,16.06,15.75,87.91,54.95,14.29,9.16,5.13,1.83,0.73,0.00,1.47,5.13,11.36,10.26,8.06,5.49,6.96,2.20,17.58,4.40,1.47,1.47,0.73,1.10,5.49,2.93,2.56,0.00,0.00,0.00,6.96,0.00,0.00,0.00,0.00,9.89,1.10,1.47,0.37,1.10,3.30,3.30,2.20,1.47,0.37,0.00,2.20,1.10,0.73,0.00,0.37,5.86,1.83,1.47,0.73,1.47,0.37,9.16,6.59,0.73,14.65,2.56,8.79,4.40,2.93,2.93,3.30,0.00,0.00,0.00,0.73,0.00,0.00,0.37,0.37,0.00,20.51,7.69,8.06,0.00,0.00,0.00,0.73,0.73,1.47,0.73,1.10,0.00
d_hilton_10.txt,1,84,90.21,85.81,68.01,47.81,16.80,14.29,84.52,38.10,7.14,4.76,0.00,0.00,3.57,0.00,1.19,2.38,4.76,14.29,4.76,2.38,5.95,1.19,10.71,4.76,1.19,3.57,4.76,7.14,1.19,1.19,0.00,0.00,0.00,0.00,13.10,0.00,1.19,1.19,2.38,11.90,1.19,0.00,2.38,8.33,1.19,4.76,1.19,1.19,0.00,0.00,2.38,1.19,1.19,0.00,0.00,4.76,0.00,1.19,4.76,0.00,0.00,0.00,9.52,0.00,20.24,5.95,13.10,1.19,1.19,3.57,7.14,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,5.95,2.38,0.00,1.19,0.00,0.00,2.38,0.00,1.19,0.00,3.57
d_hilton_11.txt,1,196,79.06,10.12,99.00,34.63,19.60,18.88,89.80,55.61,15.31,11.73,11.73,0.00,0.00,0.00,0.00,3.57,7.65,16.33,6.12,5.10,5.10,1.53,16.33,3.57,0.51,0.00,1.53,2.04,2.55,1.53,1.02,0.00,0.00,0.00,3.06,0.00,0.51,0.00,0.00,8.16,2.04,2.04,0.51,1.02,0.00,2.55,2.04,1.02,0.51,0.00,1.02,1.02,0.00,0.00,0.00,4.08,0.00,1.53,1.53,1.02,0.00,9.69,4.59,1.53,23.98,4.08,13.27,9.18,2.55,2.04,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,4.59,3.57,0.00,0.00,0.00,0.51,1.02,0.00,0.51,0.00,0.00
d_hilton_12.txt,1,149,52.96,12.70,90.47,1.00,9.93,17.45,88.59,51.01,15.44,10.74,9.40,0.00,0.00,0.00,1.34,4.03,9.40,8.72,11.41,4.70,4.03,2.01,24.16,7.38,2.68,0.67,1.34,2.68,7.38,0.67,6.04,0.67,0.67,0.67,3.36,0.00,0.67,0.00,0.00,15.44,3.36,1.34,3.36,4.03,1.34,3.36,2.01,0.67,0.67,0.67,0.00,0.00,0.00,0.00,0.00,8.72,0.67,1.34,3.36,1.34,2.68,10.07,10.07,1.34,16.11,4.70,7.38,5.37,2.01,1.34,2.68,0.67,0.00,0.00,0.67,0.00,0.00,0.00,0.67,0.00,19.46,10.07,5.37,0.00,0.00,0.00,0.00,1.34,0.00,2.68,0.00,0.00
d_hilton_13.txt,1,209,48.42,85.38,71.47,5.42,17.42,13.88,91.39,54.55,14.35,10.53,3.35,5.74,0.48,0.00,0.96,3.83,9.09,9.57,8.61,6.22,8.13,2.39,18.18,5.26,1.91,2.87,1.44,2.39,5.26,1.44,3.35,0.96,0.96,0.00,12.92,0.96,0.00,0.00,0.96,9.09,2.39,0.48,0.48,2.39,0.96,2.87,3.35,0.48,1.44,0.48,2.39,0.48,0.00,0.00,1.44,11.00,7.18,0.48,0.96,1.91,0.48,13.40,3.83,0.00,16.27,4.31,8.61,4.78,0.96,1.91,2.39,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.57,4.78,2.39,0.00,0.00,0.00,0.48,0.00,0.00,1.91,0.00,0.00
d_hilton_14.txt,1,267,49.72,88.45,71.15,25.77,17.80,10.86,87.27,58.05,17.23,13.11,3.00,7.49,0.00,0.00,2.62,4.12,7.12,12.73,9.74,4.49,7.12,1.87,18.73,3.00,1.87,0.75,3.00,1.12,1.50,0.75,0.75,0.00,0.37,0.37,13.48,0.37,0.00,0.75,0.37,10.49,1.50,1.50,1.50,1.12,0.75,4.12,0.75,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,12.36,7.87,1.50,1.50,1.87,0.00,11.61,7.12,2.62,17.23,2.25,9.74,6.74,1.87,1.50,3.00,1.87,0.00,0.00,0.37,0.00,0.00,0.00,0.37,0.00,11.99,5.62,5.24,0.00,0.00,0.00,0.00,0.00,0.75,0.37,0.00,0.00
d_hilton_15.txt,1,784,60.68,69.96,71.25,12.30,23.76,13.52,92.47,60.46,15.69,9.18,3.19,4.59,0.00,0.64,0.77,6.51,7.65,16.58,9.57,6.51,6.63,2.55,20.03,5.87,3.32,2.04,1.53,2.30,3.83,1.40,2.42,0.26,1.02,0.26,10.08,0.89,0.13,1.28,0.26,11.73,1.91,1.28,1.91,2.93,1.02,3.70,1.91,1.02,0.64,0.26,1.28,0.77,0.26,0.26,0.26,11.99,5.99,0.51,3.57,1.79,0.26,10.33,4.46,0.64,18.11,2.68,10.08,5.99,1.79,1.28,1.79,0.38,0.00,0.00,0.13,0.00,0.00,0.13,0.00,0.00,8.55,3.95,2.68,0.00,0.00,0.00,0.26,0.00,0.00,1.66,0.00,0.00
d_hilton_16.txt,1,126,67.14,13.32,95.13,7.46,21.00,8.73,87.30,61.11,13.49,11.11,7.94,0.00,1.59,0.00,1.59,2.38,6.35,18.25,10.32,5.56,6.35,3.17,14.29,3.97,1.59,0.00,4.76,1.59,4.76,1.59,3.17,1.59,0.79,0.79,6.35,0.00,0.00,0.00,0.00,11.90,0.00,0.79,1.59,1.59,0.79,7.94,0.79,0.00,0.79,0.00,0.79,0.00,0.00,0.00,0.79,3.97,0.00,0.00,2.38,0.79,0.79,5.56,7.94,1.59,16.67,3.97,8.73,4.76,1.59,2.38,1.59,3.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.08,3.17,3.17,0.00,0.00,0.00,1.59,0.79,0.00,0.79,3.17,2.38
d_hilton_17.txt,1,130,73.90,64.99,94.81,7.80,18.57,18.46,87.69,56.92,13.08,8.46,1.54,5.38,0.00,0.00,1.54,4.62,7.69,16.15,8.46,8.46,3.08,2.31,14.62,5.38,2.31,0.00,2.31,2.31,4.62,1.54,3.08,0.77,0.00,0.77,7.69,0.00,0.00,0.00,0.00,12.31,2.31,1.54,0.77,2.31,0.77,5.38,2.31,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,9.23,5.38,0.77,1.54,0.00,1.54,6.92,4.62,1.54,22.31,4.62,10.77,8.46,0.77,3.85,2.31,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.85,3.85,5.38,0.00,0.00,0.00,1.54,0.77,0.00,0.77,1.54,0.00
d_hilton_18.txt,1,115,32.24,21.69,87.24,1.00,16.43,10.43,91.30,63.48,16.52,6.96,6.09,0.00,0.00,0.00,0.87,9.57,6.96,13.91,13.91,8.70,6.96,1.74,20.87,3.48,1.74,1.74,1.74,0.00,3.48,0.00,3.48,0.87,0.87,0.00,3.48,0.00,0.00,0.00,0.00,9.57,0.87,0.87,2.61,0.00,1.74,3.48,4.35,0.87,0.87,0.87,3.48,0.00,1.74,0.87,1.74,6.09,0.00,1.74,2.61,0.87,0.87,10.43,4.35,0.87,20.00,3.48,11.30,6.96,2.61,0.87,2.61,0.87,0.00,0.00,0.87,0.00,0.00,0.87,0.00,0.00,9.57,5.22,1.74,0.87,0.00,0.00,0.87,0.00,0.00,0.87,0.00,0.00
d_hilton_19.txt,1,106,31.22,25.44,88.81,1.00,15.14,14.15,93.40,60.38,16.04,12.26,9.43,0.00,1.89,0.00,0.94,3.77,9.43,10.38,7.55,9.43,12.26,1.89,15.09,7.55,0.94,3.77,0.94,0.94,7.55,0.94,6.60,0.00,0.00,0.00,7.55,0.00,0.00,0.00,0.00,12.26,1.89,0.94,0.94,3.77,0.94,4.72,1.89,0.00,0.00,1.89,6.60,0.00,1.89,0.00,4.72,2.83,0.00,0.00,0.94,0.00,1.89,6.60,7.55,0.94,13.21,1.89,6.60,5.66,2.83,0.94,0.94,0.94,0.00,0.00,0.94,0.00,0.00,0.00,0.94,0.00,13.21,5.66,4.72,0.00,0.00,0.94,0.00,0.00,0.00,1.89,0.00,0.00
d_hilton_2.txt,1,158,41.75,14.09,92.74,36.94,9.88,14.56,91.14,55.70,18.99,12.03,8.86,0.00,1.27,0.00,1.90,5.70,9.49,9.49,8.86,5.70,5.70,3.16,17.09,5.06,1.27,2.53,1.27,3.16,3.16,1.90,1.27,0.00,0.63,0.00,5.06,0.00,0.00,0.00,0.00,14.56,3.16,1.27,2.53,3.16,1.27,5.06,0.63,0.63,0.00,0.00,1.90,0.00,1.90,0.00,0.00,3.80,0.00,0.63,1.90,0.00,1.27,6.33,7.59,1.90,15.19,3.16,8.23,6.33,0.63,1.90,1.90,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.03,8.86,0.63,0.00,0.00,1.27,0.00,0.00,0.00,0.63,0.00,0.63
d_hilton_20.txt,1,151,95.97,39.54,68.20,16.32,30.20,23.18,79.47,47.68,7.28,1.99,0.00,0.00,1.32,0.00,0.66,5.30,8.61,18.54,7.28,3.31,3.31,1.99,11.26,5.96,3.97,0.00,0.66,1.99,3.31,1.32,1.99,0.00,0.66,1.32,3.31,0.00,1.32,0.00,0.00,11.92,0.66,1.99,0.66,3.31,0.00,5.30,1.32,0.66,0.00,0.00,1.32,0.00,1.32,0.00,0.00,1.32,0.00,0.00,0.66,0.00,0.66,0.66,7.28,1.99,18.54,1.32,13.91,3.97,1.32,4.64,1.32,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.61,3.31,4.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
d_hilton_3.txt,1,199,52.58,72.67,75.43,63.89,16.58,14.57,92.46,57.29,15.08,10.55,4.52,5.53,0.00,0.00,0.50,4.52,4.52,16.58,11.56,6.03,4.52,3.52,20.10,4.02,1.51,0.50,2.51,2.51,4.02,3.02,1.01,0.00,0.50,0.00,11.56,0.00,0.00,0.00,0.00,10.05,0.50,2.51,2.51,1.51,0.50,3.02,3.02,1.01,1.51,0.50,1.51,0.00,0.00,0.00,1.51,8.54,6.03,0.50,1.01,1.01,0.00,10.05,5.03,1.51,19.60,2.01,10.05,9.55,1.51,3.52,2.01,2.01,0.00,0.00,1.51,0.00,0.00,0.50,1.01,0.00,14.57,5.53,3.02,0.00,0.00,0.00,0.50,0.50,1.01,4.02,0.00,0.00
