Filename,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
d_hilton_1.txt,273,64.27,45.62,68.01,32.04,16.06,15.75,87.91,54.95,14.29,9.16,5.13,1.83,0.73,0,1.47,5.13,11.36,10.26,8.06,5.49,6.96,2.2,17.58,4.4,1.47,1.47,0.73,1.1,5.49,2.93,2.56,0,0,0,6.96,0,0,0,0,9.89,1.1,1.47,0.37,1.1,3.3,3.3,2.2,1.47,0.37,0,2.2,1.1,0.73,0,0.37,5.86,1.83,1.47,0.73,1.47,0.37,9.16,6.59,0.73,14.65,2.56,8.79,4.4,2.93,2.93,3.3,0,0,0,0.73,0,0,0.37,0.37,0,20.51,7.69,8.06,0,0,0,0.73,0.73,1.47,0.73,1.1,0
d_hilton_10.txt,84,90.21,85.81,68.01,47.81,16.8,14.29,84.52,38.1,7.14,4.76,0,0,3.57,0,1.19,2.38,4.76,14.29,4.76,2.38,5.95,1.19,10.71,4.76,1.19,3.57,4.76,7.14,1.19,1.19,0,0,0,0,13.1,0,1.19,1.19,2.38,11.9,1.19,0,2.38,8.33,1.19,4.76,1.19,1.19,0,0,2.38,1.19,1.19,0,0,4.76,0,1.19,4.76,0,0,0,9.52,0,20.24,5.95,13.1,1.19,1.19,3.57,7.14,4.76,0,0,0,0,0,0,0,0,16.67,5.95,2.38,0,1.19,0,0,2.38,0,1.19,0,3.57
d_hilton_11.txt,196,79.06,10.12,99,34.63,19.6,18.88,89.8,55.61,15.31,11.73,11.73,0,0,0,0,3.57,7.65,16.33,6.12,5.1,5.1,1.53,16.33,3.57,0.51,0,1.53,2.04,2.55,1.53,1.02,0,0,0,3.06,0,0.51,0,0,8.16,2.04,2.04,0.51,1.02,0,2.55,2.04,1.02,0.51,0,1.02,1.02,0,0,0,4.08,0,1.53,1.53,1.02,0,9.69,4.59,1.53,23.98,4.08,13.27,9.18,2.55,2.04,2.55,0,0,0,0,0,0,0,0,0,10.2,4.59,3.57,0,0,0,0.51,1.02,0,0.51,0,0
d_hilton_12.txt,149,52.96,12.7,90.47,1,9.93,17.45,88.59,51.01,15.44,10.74,9.4,0,0,0,1.34,4.03,9.4,8.72,11.41,4.7,4.03,2.01,24.16,7.38,2.68,0.67,1.34,2.68,7.38,0.67,6.04,0.67,0.67,0.67,3.36,0,0.67,0,0,15.44,3.36,1.34,3.36,4.03,1.34,3.36,2.01,0.67,0.67,0.67,0,0,0,0,0,8.72,0.67,1.34,3.36,1.34,2.68,10.07,10.07,1.34,16.11,4.7,7.38,5.37,2.01,1.34,2.68,0.67,0,0,0.67,0,0,0,0.67,0,19.46,10.07,5.37,0,0,0,0,1.34,0,2.68,0,0
d_hilton_13.txt,209,48.42,85.38,71.47,5.42,17.42,13.88,91.39,54.55,14.35,10.53,3.35,5.74,0.48,0,0.96,3.83,9.09,9.57,8.61,6.22,8.13,2.39,18.18,5.26,1.91,2.87,1.44,2.39,5.26,1.44,3.35,0.96,0.96,0,12.92,0.96,0,0,0.96,9.09,2.39,0.48,0.48,2.39,0.96,2.87,3.35,0.48,1.44,0.48,2.39,0.48,0,0,1.44,11,7.18,0.48,0.96,1.91,0.48,13.4,3.83,0,16.27,4.31,8.61,4.78,0.96,1.91,2.39,1.44,0,0,0,0,0,0,0,0,9.57,4.78,2.39,0,0,0,0.48,0,0,1.91,0,0
d_hilton_14.txt,267,49.72,88.45,71.15,25.77,17.8,10.86,87.27,58.05,17.23,13.11,3,7.49,0,0,2.62,4.12,7.12,12.73,9.74,4.49,7.12,1.87,18.73,3,1.87,0.75,3,1.12,1.5,0.75,0.75,0,0.37,0.37,13.48,0.37,0,0.75,0.37,10.49,1.5,1.5,1.5,1.12,0.75,4.12,0.75,0.37,0.37,0,0,0,0,0,0,12.36,7.87,1.5,1.5,1.87,0,11.61,7.12,2.62,17.23,2.25,9.74,6.74,1.87,1.5,3,1.87,0,0,0.37,0,0,0,0.37,0,11.99,5.62,5.24,0,0,0,0,0,0.75,0.37,0,0
d_hilton_15.txt,784,60.68,69.96,71.25,12.3,23.76,13.52,92.47,60.46,15.69,9.18,3.19,4.59,0,0.64,0.77,6.51,7.65,16.58,9.57,6.51,6.63,2.55,20.03,5.87,3.32,2.04,1.53,2.3,3.83,1.4,2.42,0.26,1.02,0.26,10.08,0.89,0.13,1.28,0.26,11.73,1.91,1.28,1.91,2.93,1.02,3.7,1.91,1.02,0.64,0.26,1.28,0.77,0.26,0.26,0.26,11.99,5.99,0.51,3.57,1.79,0.26,10.33,4.46,0.64,18.11,2.68,10.08,5.99,1.79,1.28,1.79,0.38,0,0,0.13,0,0,0.13,0,0,8.55,3.95,2.68,0,0,0,0.26,0,0,1.66,0,0
d_hilton_16.txt,126,67.14,13.32,95.13,7.46,21,8.73,87.3,61.11,13.49,11.11,7.94,0,1.59,0,1.59,2.38,6.35,18.25,10.32,5.56,6.35,3.17,14.29,3.97,1.59,0,4.76,1.59,4.76,1.59,3.17,1.59,0.79,0.79,6.35,0,0,0,0,11.9,0,0.79,1.59,1.59,0.79,7.94,0.79,0,0.79,0,0.79,0,0,0,0.79,3.97,0,0,2.38,0.79,0.79,5.56,7.94,1.59,16.67,3.97,8.73,4.76,1.59,2.38,1.59,3.97,0,0,0,0,0,0,0,0,15.08,3.17,3.17,0,0,0,1.59,0.79,0,0.79,3.17,2.38
d_hilton_17.txt,130,73.9,64.99,94.81,7.8,18.57,18.46,87.69,56.92,13.08,8.46,1.54,5.38,0,0,1.54,4.62,7.69,16.15,8.46,8.46,3.08,2.31,14.62,5.38,2.31,0,2.31,2.31,4.62,1.54,3.08,0.77,0,0.77,7.69,0,0,0,0,12.31,2.31,1.54,0.77,2.31,0.77,5.38,2.31,0,0.77,0,0,0,0,0,0,9.23,5.38,0.77,1.54,0,1.54,6.92,4.62,1.54,22.31,4.62,10.77,8.46,0.77,3.85,2.31,0.77,0,0,0,0,0,0,0,0,13.85,3.85,5.38,0,0,0,1.54,0.77,0,0.77,1.54,0
d_hilton_18.txt,115,32.24,21.69,87.24,1,16.43,10.43,91.3,63.48,16.52,6.96,6.09,0,0,0,0.87,9.57,6.96,13.91,13.91,8.7,6.96,1.74,20.87,3.48,1.74,1.74,1.74,0,3.48,0,3.48,0.87,0.87,0,3.48,0,0,0,0,9.57,0.87,0.87,2.61,0,1.74,3.48,4.35,0.87,0.87,0.87,3.48,0,1.74,0.87,1.74,6.09,0,1.74,2.61,0.87,0.87,10.43,4.35,0.87,20,3.48,11.3,6.96,2.61,0.87,2.61,0.87,0,0,0.87,0,0,0.87,0,0,9.57,5.22,1.74,0.87,0,0,0.87,0,0,0.87,0,0
